speaker,count
114,273
113,196
115,179
296,94
461,94
321,93
433,93
478,92
243,92
315,90
468,90
409,90
446,90
327,90
272,89
310,89
472,88
479,88
236,88
422,88
265,88
435,88
311,88
295,88
292,88
291,88
319,88
264,88
309,88
419,86
488,86
452,86
328,86
259,86
430,86
412,86
401,86
293,85
482,84
389,84
445,63
223,52
245,51
222,50
229,50
226,48
221,48
219,48
216,48
214,48
225,46
227,46
228,44
31,28
160,27
217,27
209,27
131,27
188,27
186,27
134,27
142,27
278,26
425,26
418,26
423,26
417,26
403,26
431,26
286,26
428,26
426,26
323,26
396,26
352,26
244,26
242,26
330,26
335,26
341,26
261,26
351,26
358,26
394,26
359,26
361,26
273,26
373,26
376,26
388,26
277,26
365,26
392,26
290,26
24,26
459,26
458,26
457,26
54,26
53,26
454,26
50,26
48,26
40,26
39,26
38,26
492,26
25,26
444,26
473,26
81,26
12,26
2,26
438,26
525,26
443,26
523,26
88,26
519,26
513,26
62,26
13,26
500,26
84,26
215,25
171,25
179,25
176,25
175,25
174,25
172,25
170,25
183,25
169,25
168,25
167,25
164,25
163,25
161,25
181,25
30,25
184,25
218,25
185,25
231,25
189,25
193,25
194,25
195,25
197,25
199,25
224,25
19,25
157,25
220,25
192,25
190,25
156,25
148,25
139,25
140,25
123,25
141,25
122,25
103,25
143,25
120,25
133,25
132,25
146,25
137,25
149,25
151,25
117,25
116,25
129,25
112,25
97,25
128,25
442,24
320,24
441,24
322,24
502,24
317,24
503,24
413,24
499,24
329,24
504,24
411,24
498,24
497,24
496,24
332,24
333,24
494,24
336,24
337,24
338,24
316,24
511,24
314,24
516,24
437,24
528,24
429,24
294,24
522,24
521,24
297,24
439,24
518,24
298,24
299,24
300,24
440,24
312,24
301,24
302,24
303,24
304,24
305,24
307,24
308,24
424,24
342,24
510,24
509,24
505,24
493,24
453,24
447,24
346,24
456,24
368,24
432,24
398,24
470,24
369,24
469,24
370,24
371,24
462,24
467,24
374,24
288,24
391,24
375,24
390,24
463,24
465,24
377,24
464,24
387,24
378,24
385,24
382,24
379,24
399,24
367,24
471,24
407,24
449,24
491,24
490,24
486,24
451,24
381,24
485,24
408,24
484,24
481,24
477,24
347,24
363,24
350,24
475,24
474,24
353,24
354,24
355,24
357,24
404,24
402,24
360,24
455,24
434,24
529,24
52,24
238,24
254,24
33,24
251,24
250,24
249,24
248,24
247,24
41,24
240,24
239,24
237,24
256,24
60,24
67,24
233,24
232,24
205,24
75,24
76,24
213,24
80,24
102,24
255,24
252,24
269,24
16,24
271,24
270,24
276,24
279,24
268,24
280,24
267,24
281,24
275,24
5,24
1,24
17,24
262,24
284,24
20,24
285,24
258,24
119,23
105,23
109,23
159,23
150,23
127,23
158,23
130,23
152,23
135,23
136,23
153,23
138,23
144,23
145,23
93,23
147,23
96,23
118,23
91,23
37,23
6,23
11,23
14,23
27,23
29,23
32,23
35,23
36,23
51,23
90,23
173,23
59,23
61,23
64,23
68,23
72,23
77,23
86,23
162,23
0,23
177,23
196,23
178,23
212,23
324,23
180,23
201,23
206,23
230,23
200,23
182,23
187,23
191,23
235,22
334,22
241,22
331,22
476,22
480,22
466,22
344,22
66,22
460,22
340,22
343,22
326,22
345,22
450,22
348,22
349,22
436,22
246,22
313,22
325,22
489,22
527,22
526,22
524,22
283,22
520,22
517,22
515,22
514,22
274,22
512,22
306,22
266,22
508,22
507,22
506,22
263,22
501,22
208,22
253,22
92,22
289,22
400,22
364,22
386,22
410,22
362,22
384,22
415,22
366,22
393,22
420,22
406,22
421,22
356,22
405,22
372,22
397,22
395,22
202,22
427,22
43,21
18,21
49,21
21,21
22,21
47,21
46,21
45,21
94,21
44,21
23,21
15,21
198,21
203,21
121,21
26,21
126,21
110,21
28,21
124,21
34,21
125,21
111,21
74,21
55,21
154,21
207,21
98,21
210,21
99,21
3,21
165,21
87,21
85,21
83,21
82,21
79,21
4,21
101,21
155,21
166,21
73,21
71,21
69,21
7,21
107,21
108,21
65,21
8,21
63,21
9,21
10,21
204,21
380,20
282,20
383,20
287,20
260,20
414,20
78,20
448,20
416,20
339,20
495,20
234,20
483,20
487,20
318,20
257,20
57,19
58,19
56,19
42,19
106,19
70,19
104,19
100,19
89,19
211,19
95,19
