,eng
Increase the illumination,0
Decrease the illumination,0
Increase the height,0
Decrease the height,0
Increase the inclination,0
Decrease the inclination,0
Bring me the gun screwdriver,20
Take the gun screwdriver,0
Bring me the elbow screwdriver,20
Take the elbow screwdriver,0
Bring me the hammer,0
Take the hammer,0
Bring me the screwdriver,20
Take the screwdriver,0
Bring me the lever,0
Take the lever,0
Bring me the windows control panel,20
Take the windows control panel,0
Bring me the rearview mirror,20
Take the rearview mirror,0
Release,20
Come here,0
Go,0
Start,20
Stop,0
Move to the right,0
Move to the left,0
Move up,0
Move down,0
Move forward,0
Move backward,0
